work_year,experience_level,job_title,salary_in_usd,company_location,company_size
2024,MI,Data Science Consultant,70000,US,M
2024,SE,Research Engineer,179000,US,M
2024,SE,Research Engineer,112000,US,M
2024,EN,Data Management Analyst,145000,US,M
2024,EN,Data Management Analyst,120000,US,M
2024,MI,Data Scientist,142100,US,M
2024,MI,Data Scientist,94700,US,M
2024,MI,AI Engineer,166000,US,M
2024,MI,AI Engineer,73100,US,M
2024,SE,Data Science Consultant,145000,US,M
2024,SE,Data Science Consultant,128000,US,M
2024,EN,Data Analyst,90000,US,M
2024,EN,Data Analyst,75000,US,M
2024,MI,Data Scientist,99000,US,M
2024,MI,Data Scientist,87000,US,M
2024,EX,Data Engineer,334075,CA,M
2024,EX,Data Engineer,268500,CA,M
2024,SE,Data Scientist,230000,US,M
2024,SE,Data Scientist,195000,US,M
2024,SE,Research Analyst,212000,US,M
2024,SE,Research Analyst,93300,US,M
2024,EN,Data Operations Analyst,110500,US,M
2024,EN,Data Operations Analyst,69000,US,M
2024,SE,Data Management Consultant,100000,US,M
2024,SE,Data Management Consultant,85000,US,M
2024,MI,Business Intelligence Analyst,107690,US,M
2024,MI,Business Intelligence Analyst,78300,US,M
2024,EN,Analytics Engineer,131000,US,M
2024,EN,Analytics Engineer,110000,US,M
2024,EN,Data Analyst,133000,US,M
2024,EN,Data Analyst,58400,US,M
2024,EN,Data Engineer,115000,US,M
2024,EN,Data Engineer,87550,US,M
2024,EX,Data Engineer,209309,US,M
2024,EX,Data Engineer,168854,US,M
2024,EN,Research Analyst,133000,US,M
2024,EN,Research Analyst,58400,US,M
2024,SE,Data Scientist,269000,CA,M
2024,SE,Data Scientist,165000,CA,M
2024,SE,Data Scientist,245000,US,M
2024,SE,Data Scientist,185000,US,M
2024,SE,Research Scientist,333500,US,M
2024,SE,Research Scientist,180000,US,M
2024,SE,Data Scientist,195000,US,M
2024,SE,Data Scientist,147500,US,M
2024,EN,Machine Learning Engineer,187500,US,M
2024,EN,Machine Learning Engineer,99500,US,M
2024,SE,Analytics Engineer,126400,US,M
2024,SE,Analytics Engineer,101100,US,M
2024,SE,Data Engineer,167400,US,M
2024,SE,Data Engineer,116600,US,M
2024,SE,Data Analyst,126000,US,M
2024,SE,Data Analyst,87000,US,M
2024,SE,Data Engineer,152375,US,M
2024,SE,Data Engineer,94000,US,M
2024,SE,Data Quality Analyst,100000,GB,M
2024,SE,Data Quality Analyst,56250,GB,M
2024,SE,Data Architect,276000,US,M
2024,SE,Data Architect,174000,US,M
2024,EN,Data Analyst,113800,US,M
2024,EN,Data Analyst,74400,US,M
2024,SE,Machine Learning Engineer,333500,US,M
2024,SE,Machine Learning Engineer,183000,US,M
2024,SE,Machine Learning Engineer,260000,US,M
2024,SE,Machine Learning Engineer,192000,US,M
2024,EN,Data Analyst,158000,US,M
2024,EN,Data Analyst,105000,US,M
2024,SE,Data Scientist,148000,US,M
2024,SE,Data Scientist,110000,US,M
2024,MI,Data Manager,128000,US,M
2024,MI,Data Manager,81500,US,M
2024,SE,Data Analyst,115000,US,M
2024,SE,Data Analyst,75300,US,M
2024,MI,Data Scientist,140000,US,M
2024,MI,Data Scientist,100000,US,M
2024,MI,ML Engineer,240000,US,M
2024,MI,ML Engineer,140000,US,M
2024,MI,Applied Scientist,222200,US,L
2024,MI,Applied Scientist,136000,US,L
2024,MI,Data Scientist,187200,CA,M
2024,MI,Data Scientist,100800,CA,M
2024,SE,Data Engineer,153200,US,M
2024,SE,Data Engineer,102200,US,M
2024,SE,Robotics Software Engineer,240000,US,M
2024,SE,Robotics Software Engineer,160000,US,M
2024,MI,Data Analyst,105000,US,M
2024,MI,Data Analyst,77000,US,M
2024,SE,Data Engineer,207300,US,M
2024,SE,Data Engineer,119000,US,M
2024,MI,Machine Learning Engineer,160000,US,M
2024,MI,Machine Learning Engineer,130000,US,M
2024,SE,Machine Learning Engineer,155000,US,M
2024,SE,Machine Learning Engineer,125000,US,M
2024,EX,Machine Learning Engineer,265000,US,M
2024,EX,Machine Learning Engineer,203800,US,M
2024,SE,Data Analyst,135000,US,M
2024,SE,Data Analyst,105000,US,M
2024,SE,Analytics Engineer,345400,US,M
2024,SE,Analytics Engineer,272700,US,M
2024,MI,Robotics Software Engineer,198000,US,M
2024,MI,Robotics Software Engineer,160000,US,M
2024,SE,Data Engineer,198000,US,M
2024,SE,Data Engineer,180000,US,M
2024,SE,Data Analyst,100000,US,M
2024,SE,Data Analyst,80000,US,M
2024,SE,ML Engineer,250000,US,M
2024,SE,ML Engineer,200000,US,M
2024,SE,Data Scientist,155000,US,M
2024,SE,Data Scientist,139500,US,M
2024,SE,Data Architect,160000,US,M
2024,SE,Data Architect,110000,US,M
2024,SE,Research Scientist,247600,US,L
2024,SE,Research Scientist,127300,US,L
2024,SE,Data Scientist,191500,US,M
2024,SE,Data Scientist,111500,US,M
2024,SE,Data Scientist,204800,US,M
2024,SE,Data Scientist,115800,US,M
2024,SE,Data Science Consultant,116000,US,M
2024,SE,Data Science Consultant,90000,US,M
2024,SE,Data Scientist,206000,US,M
2024,SE,Data Scientist,140250,US,M
2024,SE,Applied Scientist,225000,US,M
2024,MI,Data Scientist,190000,US,M
2024,MI,Data Scientist,175000,US,M
2024,EN,Data Analyst,84105,US,M
2024,EN,Data Analyst,76095,US,M
2024,SE,Machine Learning Engineer,250000,US,M
2024,SE,Machine Learning Engineer,140000,US,M
2024,SE,Data Engineer,140000,US,M
2024,SE,Data Engineer,100000,US,M
2024,SE,Machine Learning Researcher,250800,US,M
2024,SE,Machine Learning Researcher,167200,US,M
2024,MI,Data Engineer,165000,US,M
2024,MI,Data Engineer,140250,US,M
2024,MI,Data Scientist,110000,US,M
2024,MI,Data Scientist,90000,US,M
2024,MI,Research Scientist,300000,US,M
2024,MI,Research Scientist,200000,US,M
2024,SE,Data Scientist,155000,US,M
2024,SE,Data Scientist,104603,US,M
2024,SE,Data Scientist,279000,US,M
2024,SE,Data Scientist,183000,US,M
2024,MI,Data Scientist,252000,US,M
2024,MI,Data Scientist,168000,US,M
2024,SE,Data Analyst,96600,US,M
2024,SE,Data Analyst,55200,US,M
2024,EN,Data Analyst,73756,US,M
2024,EN,Data Analyst,61463,US,M
2024,SE,Data Engineer,130000,US,M
2024,SE,Data Engineer,100000,US,M
2024,MI,Data Engineer,167500,US,M
2024,MI,Data Engineer,106500,US,M
2024,MI,Analytics Engineer,126000,US,M
2024,MI,Analytics Engineer,78000,US,M
2024,MI,AI Architect,800000,CA,M
2023,EN,Data DevOps Engineer,47918,NL,L
2024,EN,Data Analyst,44555,LT,M
2024,EN,Data Analyst,31187,LT,M
2024,SE,Data Engineer,220000,US,M
2024,SE,Data Engineer,137500,US,M
2024,MI,Data Scientist,127660,US,M
2024,MI,Data Scientist,68740,US,M
2024,SE,Machine Learning Engineer,137930,CA,M
2024,SE,Machine Learning Engineer,74270,CA,M
2024,SE,Data Engineer,180500,US,M
2024,SE,Data Engineer,96200,US,M
2024,SE,Data Engineer,266875,US,M
2024,SE,Data Engineer,128250,US,M
2024,EX,Business Intelligence,230000,US,M
2024,EX,Business Intelligence,176900,US,M
2024,MI,Data Scientist,212000,US,M
2024,MI,Data Scientist,93300,US,M
2024,MI,Machine Learning Scientist,200000,US,M
2024,MI,Machine Learning Scientist,140000,US,M
2024,EN,Data Analyst,80080,US,M
2024,EN,Data Analyst,65400,US,M
2024,SE,Machine Learning Engineer,210000,US,M
2024,SE,Machine Learning Engineer,178500,US,M
2024,SE,Data Scientist,165000,US,M
2024,SE,Data Scientist,115500,US,M
2024,SE,AI Software Engineer,242000,EG,M
2024,SE,AI Software Engineer,106200,EG,M
2024,SE,Data Integration Engineer,148000,US,M
2024,SE,Data Integration Engineer,100000,US,M
2024,SE,Data Engineer,160000,US,M
2024,SE,Data Engineer,145000,US,M
2024,SE,Machine Learning Engineer,180000,US,M
2024,SE,Machine Learning Engineer,140000,US,M
2024,SE,Data Analyst,96600,US,M
2024,SE,Data Analyst,55200,US,M
2024,EN,Data Analyst,85500,US,M
2024,EN,Data Analyst,51000,US,M
2024,SE,Data Science,185490,US,M
2024,SE,Data Science,134530,US,M
2024,SE,Research Scientist,337300,US,M
2024,SE,Research Scientist,192700,US,M
2024,SE,Data Engineer,205000,US,M
2024,SE,Data Engineer,175000,US,M
2024,SE,Data Scientist,185900,US,M
2024,SE,Data Scientist,109400,US,M
2024,MI,Machine Learning Engineer,200000,US,M
2024,MI,Machine Learning Engineer,140000,US,M
2024,SE,Data Engineer,277000,US,M
2024,SE,Data Engineer,173000,US,M
2024,EX,Data Architect,210000,US,M
2024,EX,Data Architect,180000,US,M
2024,MI,Data Engineer,77777,AT,M
2024,MI,Data Engineer,58888,AT,M
2024,MI,Data Engineer,200000,US,M
2024,MI,Data Engineer,150000,US,M
2024,SE,Data Analyst,193000,US,M
2024,SE,Data Analyst,156000,US,M
2024,EN,Business Intelligence Analyst,92000,AU,M
2024,EN,Business Intelligence Analyst,90000,AU,M
2024,MI,Analytics Engineer,197000,US,M
2024,MI,Analytics Engineer,115000,US,M
2024,SE,Data Analyst,95584,DE,M
2024,SE,Data Analyst,79653,DE,M
2024,SE,Data Analyst,95717,NL,M
2024,SE,Data Analyst,79765,NL,M
2024,SE,Data Scientist,170000,US,M
2024,SE,Data Scientist,130000,US,M
2024,SE,Data Scientist,297000,US,M
2024,SE,Data Scientist,138000,US,M
2024,MI,Research Scientist,212800,US,L
2024,MI,Research Scientist,124100,US,L
2024,SE,Data Science,160000,US,M
2024,SE,Data Science,150000,US,M
2024,SE,Data Operations Specialist,55720,US,M
2024,SE,Data Operations Specialist,50700,US,M
2024,SE,Data Analyst,140000,US,M
2024,SE,Data Analyst,136000,US,M
2024,SE,Data Engineer,195000,US,M
2024,SE,Data Engineer,147500,US,M
2024,SE,Data Engineer,195000,US,M
2024,SE,Data Engineer,147500,US,M
2024,EN,Research Analyst,300000,US,M
2024,EN,Research Analyst,150000,US,M
2024,SE,Data Engineer,154000,US,M
2024,SE,Data Engineer,103000,US,M
2024,EN,Research Analyst,300000,US,M
2024,EN,Research Analyst,150000,US,M
2024,SE,Machine Learning Engineer,234000,US,M
2024,SE,Machine Learning Engineer,208000,US,M
2024,SE,Data Engineer,206000,US,M
2024,SE,Data Engineer,175100,US,M
2024,SE,Machine Learning Engineer,324000,US,M
2024,SE,Machine Learning Engineer,159000,US,M
2024,SE,Data Engineer,150895,US,M
2024,SE,Data Engineer,120715,US,M
2024,EN,Research Analyst,300000,US,M
2024,EN,Research Analyst,150000,US,M
2024,SE,Data Scientist,283800,US,M
2024,SE,Data Scientist,234700,US,M
2024,EN,Business Intelligence Analyst,86000,US,M
2024,EN,Business Intelligence Analyst,53000,US,M
2024,SE,Data Scientist,187158,US,M
2024,SE,Data Scientist,116974,US,M
2024,SE,Analytics Engineer,225000,US,M
2024,SE,Analytics Engineer,180000,US,M
2024,SE,Data Scientist,179000,US,M
2024,SE,Data Scientist,112000,US,M
2024,SE,Machine Learning Engineer,195700,US,M
2024,SE,Machine Learning Engineer,97700,US,M
2024,SE,BI Analyst,100000,US,M
2024,SE,BI Analyst,85000,US,M
2024,MI,Data Analyst,119000,US,M
2024,MI,Data Analyst,52100,US,M
2024,SE,Business Intelligence Developer,136000,US,M
2024,SE,Business Intelligence Developer,91536,US,M
2024,SE,Data Engineer,199700,US,M
2024,SE,Data Engineer,165100,US,M
2024,SE,Machine Learning Engineer,251250,US,M
2024,SE,Machine Learning Engineer,120750,US,M
2024,SE,Data Scientist,240000,US,M
2024,SE,Data Scientist,220000,US,M
2024,SE,Data Science,160000,US,M
2024,SE,Data Science,150000,US,M
2024,EX,Data Science,300000,US,M
2024,EX,Data Science,220000,US,M
2024,EN,Data Analyst,130000,US,M
2024,EN,Data Analyst,100000,US,M
2024,EN,Data Analyst,170000,US,M
2024,EN,Data Analyst,150000,US,M
2024,SE,Data Analyst,150000,US,M
2024,SE,Data Analyst,120000,US,M
2024,SE,Data Scientist,247300,US,M
2024,SE,Data Scientist,139800,US,M
2024,EX,Data Engineer,220000,US,M
2024,EX,Data Engineer,210000,US,M
2024,EN,Research Analyst,116000,US,M
2024,EN,Research Analyst,79000,US,M
2024,MI,Data Scientist,130000,US,M
2024,MI,Data Scientist,117000,US,M
2024,MI,Data Scientist,172200,US,M
2024,MI,Data Scientist,131200,US,M
2024,SE,Research Scientist,210000,US,M
2024,SE,Research Scientist,151800,US,M
2024,MI,Data Engineer,133000,US,M
2024,MI,Data Engineer,58300,US,M
2024,MI,Research Scientist,359400,US,M
2024,MI,Research Scientist,239600,US,M
2024,EN,BI Analyst,80000,US,M
2024,EN,BI Analyst,70000,US,M
2024,SE,Data Science,324100,US,L
2024,SE,Data Science,166700,US,L
2024,MI,Data Engineer,100000,US,M
2024,MI,Data Engineer,80000,US,M
2024,SE,Data Analyst,85000,US,M
2024,SE,Data Analyst,75000,US,M
2024,SE,Data Scientist,243800,US,M
2024,SE,Data Scientist,144200,US,M
2024,SE,Machine Learning Engineer,220000,CA,M
2024,SE,Machine Learning Engineer,200000,CA,M
2024,SE,AI Architect,289000,US,L
2024,MI,Business Intelligence Developer,77826,US,M
2024,MI,Business Intelligence Developer,59300,US,M
2024,MI,Data Scientist,166000,US,M
2024,MI,Data Scientist,73100,US,M
2024,MI,Research Engineer,151500,US,M
2024,MI,Research Engineer,101000,US,M
2024,SE,Machine Learning Engineer,182000,US,M
2024,SE,Machine Learning Engineer,164000,US,M
2024,SE,Analytics Engineer,132100,US,M
2024,SE,Analytics Engineer,96700,US,M
2024,MI,Data Manager,98500,US,M
2024,MI,Data Manager,71500,US,M
2024,SE,Machine Learning Engineer,200800,US,M
2024,SE,Machine Learning Engineer,107800,US,M
2024,EN,Data Analyst,106100,US,M
2024,EN,Data Analyst,74300,US,M
2024,SE,Data Analyst,153900,US,M
2024,SE,Data Analyst,112715,US,M
2024,SE,Analytics Engineer,105000,US,M
2024,SE,Analytics Engineer,94200,US,M
2024,MI,Data Product Manager,171000,US,M
2024,MI,Data Product Manager,136000,US,M
2024,SE,Machine Learning Engineer,221000,US,M
2024,SE,Machine Learning Engineer,185000,US,M
2024,EN,Data Analyst,92700,US,M
2024,EN,Data Analyst,64900,US,M
2024,MI,Data Engineer,126600,US,M
2024,MI,Data Engineer,80800,US,M
2024,SE,Data Scientist,164845,US,M
2024,SE,Data Scientist,119887,US,M
2024,EN,Data Analyst,93000,US,M
2024,EN,Data Analyst,87000,US,M
2024,MI,Data Analyst,103500,US,M
2024,MI,Data Analyst,65600,US,M
2024,MI,Business Intelligence Engineer,165600,US,L
2024,MI,Business Intelligence Engineer,65800,US,L
2024,SE,Data Scientist,164000,US,M
2024,SE,Data Scientist,152000,US,M
2024,SE,Applied Scientist,250000,US,M
2024,SE,Applied Scientist,180000,US,M
2024,MI,Machine Learning Engineer,202000,US,M
2024,MI,Machine Learning Engineer,137000,US,M
2024,SE,Machine Learning Scientist,204600,US,M
2024,SE,Machine Learning Scientist,84500,US,M
2024,SE,Research Engineer,190000,US,M
2024,SE,Research Engineer,151500,US,M
2024,MI,Data Science,81250,GB,M
2024,MI,Data Science,68750,GB,M
2024,SE,Data Scientist,168800,US,M
2024,SE,Data Scientist,93800,US,M
2024,MI,Data Scientist,132567,US,M
2024,MI,Data Scientist,96412,US,M
2024,SE,Machine Learning Engineer,309000,US,M
2024,SE,Machine Learning Engineer,142000,US,M
2024,SE,Research Engineer,333500,US,M
2024,SE,Research Engineer,156000,US,M
2024,SE,Data Scientist,266875,US,M
2024,SE,Data Scientist,128250,US,M
2024,SE,Data Engineer,191311,US,M
2024,SE,Data Engineer,166358,US,M
2024,SE,Data Scientist,218500,US,M
2024,SE,Data Scientist,190000,US,M
2024,MI,Data Specialist,70000,US,M
2024,MI,Data Specialist,60000,US,M
2024,SE,Machine Learning Engineer,324000,US,M
2024,SE,Machine Learning Engineer,159000,US,M
2024,SE,Analytics Engineer,179000,US,M
2024,SE,Analytics Engineer,152000,US,M
2024,SE,Machine Learning Engineer,235680,US,M
2024,SE,Machine Learning Engineer,153040,US,M
2024,EN,Data Analyst,140000,US,M
2024,EN,Data Analyst,100000,US,M
2024,MI,Data Analyst,187000,US,M
2024,MI,Data Analyst,153000,US,M
2024,MI,Data Engineer,185000,US,L
2024,MI,Data Engineer,81000,US,L
2024,SE,Machine Learning Engineer,290000,US,M
2024,SE,Machine Learning Engineer,203000,US,M
2024,SE,AI Engineer,142352,US,M
2024,SE,AI Engineer,95325,US,M
2024,MI,Data Analyst,187000,US,M
2024,MI,Data Analyst,153000,US,M
2024,SE,Data Scientist,190000,CA,M
2024,SE,Data Scientist,158500,CA,M
2024,MI,Data Scientist,240000,US,M
2024,MI,Data Scientist,180000,US,M
2024,EN,AI Research Scientist,88888,DE,L
2024,EX,Data Science Director,106666,ES,L
2024,EX,Data Science Director,106666,ES,L
2024,SE,Data Engineer,130500,US,M
2024,SE,Data Engineer,96000,US,M
2024,MI,Data Scientist,166000,US,M
2024,MI,Data Scientist,73100,US,M
2024,MI,Machine Learning Engineer,62500,GB,M
2024,MI,Machine Learning Engineer,50000,GB,M
2024,SE,Data Analyst,234000,US,M
2024,SE,Data Analyst,146000,US,M
2024,SE,Data Engineer,125000,GB,M
2024,SE,Data Engineer,125000,GB,M
2024,SE,Data Scientist,65333,LT,M
2024,SE,Data Scientist,46666,LT,M
2024,SE,Data Engineer,105000,US,M
2024,SE,Data Engineer,95000,US,M
2024,EN,Data Analyst,60500,US,M
2024,EN,Data Analyst,40300,US,M
2024,MI,Data Analyst,160000,US,M
2024,MI,Data Analyst,95000,US,M
2024,EN,Data Engineer,152500,US,M
2024,EN,Data Engineer,138200,US,M
2024,SE,Research Scientist,164300,US,M
2024,SE,Research Scientist,104000,US,M
2024,SE,Data Analyst,163700,US,M
2024,SE,Data Analyst,109100,US,M
2024,SE,Data Engineer,130000,US,M
2024,SE,Data Engineer,100000,US,M
2024,SE,Machine Learning Engineer,220000,US,M
2024,SE,Machine Learning Engineer,200000,US,M
2024,MI,Data Engineer,115000,US,M
2024,MI,Data Engineer,95000,US,M
2024,SE,Analytics Engineer,230000,US,M
2024,SE,Analytics Engineer,170000,US,M
2024,SE,Analytics Engineer,250000,US,M
2024,SE,Analytics Engineer,180700,US,M
2024,SE,Analytics Engineer,136675,US,M
2024,SE,Analytics Engineer,111648,US,M
2024,SE,Data Engineer,81250,GB,M
2024,SE,Data Engineer,81250,GB,M
2024,SE,Machine Learning Engineer,254000,US,M
2024,SE,Machine Learning Engineer,200000,US,M
2024,SE,Data Scientist,161000,US,M
2024,SE,Data Scientist,133200,US,M
2024,MI,Data Engineer,106250,GB,M
2024,MI,Data Engineer,106250,GB,M
2024,EN,Research Engineer,160000,US,M
2024,EN,Research Engineer,140000,US,M
2024,MI,Machine Learning Engineer,223100,US,M
2024,MI,Machine Learning Engineer,126400,US,M
2024,SE,Analytics Engineer,190000,US,M
2024,SE,Analytics Engineer,136000,US,M
2024,MI,Data Strategist,134400,US,M
2024,MI,Data Strategist,100000,US,M
2024,MI,Data Engineer,246000,US,M
2024,MI,Data Engineer,170000,US,M
2024,EN,Research Analyst,198000,US,M
2024,EN,Research Analyst,115000,US,M
2024,MI,Data Scientist,150000,US,M
2024,MI,Data Scientist,103000,US,M
2024,SE,Data Scientist,170000,US,M
2024,SE,Data Scientist,160000,US,M
2024,SE,Data Analyst,175000,US,M
2024,SE,Data Analyst,117000,US,M
2024,SE,Data Analyst,85000,US,M
2024,SE,Data Analyst,79000,US,M
2024,MI,Analytics Engineer,100000,US,M
2024,MI,Analytics Engineer,75000,US,M
2024,SE,Data Scientist,205000,US,M
2024,SE,Data Scientist,190000,US,M
2024,SE,Data Engineer,331640,US,M
2024,SE,Data Engineer,283780,US,M
2024,MI,Applied Scientist,222200,US,L
2024,MI,Applied Scientist,136000,US,L
2024,MI,Big Data Developer,117000,US,L
2024,EN,Business Intelligence Analyst,99000,US,M
2024,EN,Business Intelligence Analyst,72000,US,M
2024,MI,Data Manager,77000,US,M
2024,MI,Data Manager,49900,US,M
2024,MI,Data Analyst,95000,US,M
2024,MI,Data Analyst,70000,US,M
2024,MI,Data Scientist,203500,US,M
2024,MI,Data Scientist,133000,US,M
2024,SE,Data Engineer,104000,US,M
2024,SE,Data Engineer,80000,US,M
2024,MI,Data Analyst,134400,US,M
2024,MI,Data Analyst,100000,US,M
2024,EN,Data Scientist,33500,GB,M
2024,EN,Data Scientist,33500,GB,M
2024,SE,Data Scientist,81250,GB,M
2024,SE,Data Scientist,56250,GB,M
2024,EN,Data Analyst,64500,US,M
2024,EN,Data Analyst,51500,US,M
2024,SE,Machine Learning Engineer,240200,GB,M
2024,SE,Machine Learning Engineer,102900,GB,M
2024,MI,Data Analyst,195600,US,M
2024,MI,Data Analyst,165500,US,M
2024,SE,Data Analyst,180400,US,M
2024,SE,Data Analyst,138800,US,M
2024,SE,Data Scientist,180000,US,M
2024,SE,Data Scientist,139000,US,M
2024,SE,Data Science Consultant,112000,US,M
2024,SE,Data Science Consultant,109000,US,M
2024,SE,Data Scientist,147670,US,M
2024,SE,Data Scientist,118136,US,M
2024,SE,Data Architect,164000,US,M
2024,SE,Data Architect,117000,US,M
2024,SE,BI Developer,42000,PH,M
2024,SE,BI Developer,21600,PH,M
2024,SE,Data Scientist,154000,US,M
2024,SE,Data Scientist,81536,US,M
2024,SE,Data Scientist,180000,US,M
2024,SE,Data Scientist,139000,US,M
2024,EN,Data Analyst,28750,GB,M
2024,EN,Data Analyst,28750,GB,M
2024,SE,Data Engineer,198000,US,M
2024,SE,Data Engineer,143000,US,M
2024,SE,Machine Learning Engineer,340000,US,M
2024,SE,Machine Learning Engineer,212000,US,M
2024,SE,Machine Learning Scientist,230000,US,M
2024,SE,Machine Learning Scientist,170000,US,M
2024,EN,Quantitative Research Analyst,51000,US,M
2024,SE,Lead Machine Learning Engineer,77777,FI,L
2024,EN,ML Engineer,27000,TR,S
2024,MI,Data Scientist,129545,CH,L
2024,EN,Machine Learning Research Engineer,80769,CA,M
2024,SE,Business Intelligence Engineer,108500,US,M
2024,SE,Business Intelligence Engineer,78800,US,M
2024,MI,Data Infrastructure Engineer,385000,US,M
2024,MI,Data Infrastructure Engineer,200000,US,M
2024,SE,Data Scientist,297000,US,M
2024,SE,Data Scientist,138000,US,M
2024,MI,Data Scientist,198000,US,M
2024,MI,Data Scientist,140000,US,M
2023,SE,AI Engineer,46848,OM,M
2024,EN,Machine Learning Engineer,130400,US,M
2024,EN,Machine Learning Engineer,74500,US,M
2024,SE,Data Architect,212000,AU,M
2024,SE,Data Architect,93400,AU,M
2024,MI,Business Intelligence Analyst,142000,CA,M
2024,MI,Business Intelligence Analyst,91300,CA,M
2024,SE,Data Analytics Lead,166000,US,M
2024,SE,Data Analytics Lead,73100,US,M
2024,EN,Data Scientist,133000,US,M
2024,EN,Data Scientist,58400,US,M
2024,SE,Data Scientist,204600,US,M
2024,SE,Data Scientist,84500,US,M
2024,MI,Data Scientist,176000,US,M
2024,MI,Data Scientist,72700,US,M
2024,EN,Data Analyst,92000,US,M
2024,EN,Data Analyst,65000,US,M
2024,SE,Data Engineer,231000,US,M
2024,SE,Data Engineer,141000,US,M
2024,SE,Data Scientist,162819,US,M
2024,SE,Data Scientist,95776,US,M
2024,MI,Applied Scientist,222200,US,L
2024,MI,Applied Scientist,136000,US,L
2024,MI,Data Engineer,138278,US,M
2024,MI,Data Engineer,86424,US,M
2024,SE,Analytics Engineer,130500,US,M
2024,SE,Analytics Engineer,96000,US,M
2024,SE,Data Architect,175000,US,M
2024,SE,Data Architect,117000,US,M
